ID,Gene,ncbi,RSG
619,hsa1415,1415,NG_009827.1
620,hsa1417,1417,NG_009828.1
621,hsa1418,1418,NG_028157.1
622,hsa1420,1420,NG_008038.1
623,hsa1421,1421,NG_008039.1
624,hsa142678,142678,NG_053090.1
625,hsa142680,142680,NG_017008.2
626,hsa142685,142685,NG_034019.1
627,hsa142689,142689,NG_012823.2
628,hsa1428,1428,NG_011610.1
629,hsa1429,1429,NG_029880.1
630,hsa1435,1435,NG_030008.1
631,hsa1436,1436,NG_012303.2
632,hsa1437,1437,NG_033024.1
633,hsa1438,1438,NG_012280.1
634,hsa1439,1439,NG_008040.1
635,hsa1441,1441,NG_016270.1
636,hsa144165,144165,NG_012965.1
637,hsa1442,1442,NG_028354.1
638,hsa144233,144233,NG_053175.1
639,hsa144501,144501,NG_012324.1
640,hsa144717,144717,NG_021347.1
641,hsa145226,145226,NG_008321.1
642,hsa145258,145258,NG_034111.1
643,hsa145270,145270,NG_009069.1
644,hsa145282,145282,NG_027724.1
645,hsa1453,1453,NG_012828.2
646,hsa1454,1454,NG_016707.1
647,hsa1457,1457,NG_011970.2
648,hsa146057,146057,NG_012664.1
649,hsa146059,146059,NG_012491.1
650,hsa1462,1462,NG_012682.1
651,hsa146212,146212,NG_053040.1
652,hsa146691,146691,NG_053113.1
653,hsa146956,146956,NG_029665.1
654,hsa147007,147007,NG_046803.1
655,hsa1471,1471,NG_012887.3
656,hsa147372,147372,NG_016990.1
657,hsa147495,147495,NG_027685.1
658,hsa1475,1475,NG_027995.1
659,hsa1476,1476,NG_011545.1
660,hsa147746,147746,NG_051224.1
661,hsa1478,1478,NG_015848.1
662,hsa147912,147912,NG_012745.1
663,hsa147923,147923,NG_051212.1
664,hsa147945,147945,NG_052802.1
665,hsa148,148,NG_029395.1
666,hsa148022,148022,NG_031998.1
667,hsa1482,1482,NG_013340.1
668,hsa148281,148281,NG_050730.1
669,hsa1487,1487,NG_052824.1
670,hsa1489,1489,NG_009171.1
671,hsa148932,148932,NG_027514.1
672,hsa1490,1490,NG_016131.1
673,hsa1491,1491,NG_008041.1
674,hsa149233,149233,NG_011498.1
675,hsa1493,1493,NG_011502.1
676,hsa149371,149371,NG_051632.1
677,hsa149428,149428,NG_029720.1
678,hsa149461,149461,NG_008993.1
679,hsa149465,149465,NG_028079.2
680,hsa1495,1495,NG_047029.1
681,hsa1499,1499,NG_013302.2
682,hsa15,15,NG_015976.1
683,hsa150,150,NG_012020.1
684,hsa1500,1500,NG_029078.1
685,hsa150094,150094,NG_052009.1
686,hsa1501,1501,NG_023544.2
687,hsa1503,1503,NG_034208.1
688,hsa1504,1504,NG_051057.1
689,hsa1506,1506,NG_051639.1
690,hsa150726,150726,NG_033973.1
691,hsa150771,150771,NG_050731.1
692,hsa1508,1508,NG_009217.2
693,hsa1509,1509,NG_008655.1
694,hsa151,151,NG_032950.1
695,hsa1510,1510,NG_029664.1
696,hsa151056,151056,NG_051297.1
697,hsa151188,151188,NG_053091.1
698,hsa1512,1512,NG_009614.1
699,hsa151254,151254,NG_051007.1
700,hsa1513,1513,NG_011848.1
701,hsa151516,151516,NG_054918.1
702,hsa151648,151648,NG_042062.1
703,hsa152,152,NG_012640.1
704,hsa152137,152137,NG_008994.1
705,hsa1522,1522,NG_023300.1
706,hsa1523,1523,NG_029476.2
707,hsa152330,152330,NG_012827.2
708,hsa1524,1524,NG_016362.1
709,hsa1525,1525,NG_029458.1
710,hsa152503,152503,NG_029721.1
711,hsa152559,152559,NG_053104.1
712,hsa152687,152687,NG_033822.1
713,hsa1528,1528,NG_023211.1
714,hsa152816,152816,NG_032974.1
715,hsa152926,152926,NG_032931.1
716,hsa153,153,NG_012187.1
717,hsa1535,1535,NG_007291.1
718,hsa1536,1536,NG_009065.1
719,hsa1537,1537,NG_033872.1
720,hsa154,154,NG_016421.2
721,hsa1540,1540,NG_012061.1
722,hsa1543,1543,NG_008431.2
723,hsa1544,1544,NG_008431.2
724,hsa1545,1545,NG_008386.2
725,hsa154796,154796,NG_012628.1
726,hsa1548,1548,NG_008377.1
727,hsa155,155,NG_011936.1
728,hsa1551,1551,NG_007983.1
729,hsa1557,1557,NG_008384.3
730,hsa1558,1558,NG_007972.1
731,hsa1559,1559,NG_008385.2
732,hsa1562,1562,NG_008373.1
733,hsa1565,1565,NG_008376.4
734,hsa1571,1571,NG_008383.1
